date,neg,pos,neu
2019-02-19 23:59:59,0.06606071428571424,0.20060357142857135,0.7333257936507943
2019-02-20 00:59:59,0.268,0.0,0.732
2019-02-20 01:59:59,0.0,0.351,0.649
2019-02-20 02:59:59,0.056,0.119,0.825
2019-02-20 03:59:59,0.195,0.034,0.771
2019-02-20 04:59:59,0.092,0.083,0.825
2019-02-20 05:59:59,0.0,0.0,1.0
2019-02-20 06:59:59,0.0,0.061,0.939
2019-02-20 07:59:59,0.0,0.195,0.805
2019-02-20 08:59:59,0.0,0.274,0.726
2019-02-20 09:59:59,0.233,0.051,0.716
2019-02-20 10:59:59,0.0,0.108,0.892
2019-02-20 11:59:59,0.047,0.207,0.746
2019-02-20 12:59:59,0.072,0.138,0.789
2019-02-20 13:59:59,0.0,0.519,0.481
2019-02-20 14:59:59,0.0,0.134,0.866
2019-02-20 15:59:59,0.278,0.097,0.625
2019-02-20 16:59:59,0.0,0.086,0.914
2019-02-20 17:59:59,0.181,0.049,0.769
2019-02-20 18:59:59,0.147,0.032,0.821
2019-02-20 19:59:59,0.128,0.089,0.783
2019-02-20 20:59:59,0.0,0.11,0.89
2019-02-20 21:59:59,0.0,0.581,0.419
2019-02-20 22:59:59,0.06407005604483587,0.20075900720576498,0.7351761409127312
2019-02-20 23:59:59,0.0,0.319,0.681
2019-02-21 00:59:59,0.0,0.439,0.561
2019-02-21 01:59:59,0.096,0.041,0.863
2019-02-21 02:59:59,0.0,0.362,0.638
2019-02-21 03:59:59,0.041,0.05,0.909
2019-02-21 04:59:59,0.0,0.158,0.842
2019-02-21 05:59:59,0.0,0.487,0.513
2019-02-21 06:59:59,0.0,0.592,0.408
2019-02-21 07:59:59,0.117,0.105,0.779
2019-02-21 08:59:59,0.073,0.0,0.927
2019-02-21 09:59:59,0.0,0.5,0.5
2019-02-21 10:59:59,0.07,0.095,0.835
2019-02-21 11:59:59,0.0,0.134,0.866
2019-02-21 12:59:59,0.0,0.0,1.0
2019-02-21 13:59:59,0.069,0.117,0.814
2019-02-21 14:59:59,0.398,0.0,0.602
2019-02-21 15:59:59,0.0,0.259,0.741
2019-02-21 16:59:59,0.0,0.281,0.719
2019-02-21 17:59:59,0.0,0.124,0.876
2019-02-21 18:59:59,0.0,0.408,0.592
2019-02-21 19:59:59,0.0,0.296,0.704
2019-02-21 20:59:59,0.0,0.286,0.714
2019-02-21 21:59:59,0.0,0.159,0.841
2019-02-21 22:59:59,0.05587745294353223,0.2103736483780536,0.7337468962755305
2019-02-21 23:59:59,0.0,0.145,0.855
2019-02-22 00:59:59,0.0,0.261,0.739
2019-02-22 01:59:59,0.092,0.272,0.636
2019-02-22 02:59:59,0.313,0.181,0.507
2019-02-22 03:59:59,0.0,0.299,0.701
2019-02-22 04:59:59,0.077,0.094,0.829
2019-02-22 05:59:59,0.0,0.532,0.468
2019-02-22 06:59:59,0.0,0.298,0.702
2019-02-22 07:59:59,0.0,0.175,0.825
2019-02-22 08:59:59,0.0,0.195,0.805
2019-02-22 09:59:59,0.0,0.0,1.0
2019-02-22 10:59:59,0.067,0.318,0.615
2019-02-22 11:59:59,0.0,0.524,0.476
2019-02-22 12:59:59,0.109,0.077,0.814
2019-02-22 13:59:59,0.28,0.24,0.48
2019-02-22 14:59:59,0.0,0.254,0.746
2019-02-22 15:59:59,0.073,0.066,0.861
2019-02-22 16:59:59,0.23,0.317,0.453
2019-02-22 17:59:59,0.0,0.265,0.735
2019-02-22 18:59:59,0.167,0.402,0.431
2019-02-22 19:59:59,0.0,0.591,0.409
2019-02-22 20:59:59,0.038,0.246,0.717
2019-02-22 21:59:59,0.327,0.205,0.468
