date,neg,pos,neu
2019-02-19 23:59:58,0.06012246520874749,0.11297017892644187,0.8269009940357788
2019-02-20 00:59:58,0.0,0.0,1.0
2019-02-20 01:59:58,0.083,0.054,0.863
2019-02-20 02:59:58,0.0,0.286,0.714
2019-02-20 03:59:58,0.0,0.0,1.0
2019-02-20 04:59:58,0.0,0.0,1.0
2019-02-20 05:59:58,0.0,0.228,0.772
2019-02-20 06:59:58,0.192,0.09,0.717
2019-02-20 07:59:58,0.0,0.0,1.0
2019-02-20 08:59:58,0.0,0.0,1.0
2019-02-20 09:59:58,0.294,0.124,0.582
2019-02-20 10:59:58,0.0,0.104,0.896
2019-02-20 11:59:58,0.066,0.116,0.819
2019-02-20 12:59:58,0.0,0.17,0.83
2019-02-20 13:59:58,0.0,0.104,0.896
2019-02-20 14:59:58,0.361,0.0,0.639
2019-02-20 15:59:58,0.0,0.177,0.823
2019-02-20 16:59:58,0.0,0.0,1.0
2019-02-20 17:59:58,0.0,0.604,0.396
2019-02-20 18:59:58,0.067,0.318,0.615
2019-02-20 19:59:58,0.099,0.03,0.872
2019-02-20 20:59:58,0.0,0.0,1.0
2019-02-20 21:59:58,0.0,0.0,1.0
2019-02-20 22:59:58,0.0,0.0,1.0
2019-02-20 23:59:58,0.167,0.19,0.643
2019-02-21 00:59:58,0.0,0.0,1.0
2019-02-21 01:59:58,0.0,0.0,1.0
2019-02-21 02:59:58,0.0,0.0,1.0
2019-02-21 03:59:58,0.32,0.0,0.68
2019-02-21 04:59:58,0.0,0.0,1.0
2019-02-21 05:59:58,0.0,0.13,0.87
2019-02-21 06:59:58,0.0,0.162,0.838
2019-02-21 07:59:58,0.0,0.231,0.769
2019-02-21 08:59:58,0.106,0.118,0.776
2019-02-21 09:59:58,0.0,0.0,1.0
2019-02-21 10:59:58,0.0,0.129,0.871
2019-02-21 11:59:58,0.0,0.0,1.0
2019-02-21 12:59:58,0.0,0.0,1.0
2019-02-21 13:59:58,0.0,0.17,0.83
2019-02-21 14:59:58,0.0,0.0,1.0
2019-02-21 15:59:58,0.0,0.5,0.5
2019-02-21 16:59:58,0.0,0.0,1.0
2019-02-21 17:59:58,0.16,0.063,0.777
2019-02-21 18:59:58,0.197,0.073,0.73
2019-02-21 19:59:58,0.0,0.0,1.0
2019-02-21 20:59:58,0.0,0.0,1.0
2019-02-21 21:59:58,0.0,0.0,1.0
2019-02-21 22:59:58,0.0,0.0,1.0
2019-02-21 23:59:58,0.0,0.0,1.0
2019-02-22 00:59:58,0.095,0.209,0.697
2019-02-22 01:59:58,0.0,0.114,0.886
2019-02-22 02:59:58,0.0,0.0,1.0
2019-02-22 03:59:58,0.0,0.0,1.0
2019-02-22 04:59:58,0.343,0.126,0.531
2019-02-22 05:59:58,0.211,0.128,0.661
2019-02-22 06:59:58,0.343,0.126,0.531
2019-02-22 07:59:58,0.0,0.103,0.897
2019-02-22 08:59:58,0.343,0.126,0.531
2019-02-22 09:59:58,0.0,0.053,0.947
2019-02-22 10:59:58,0.106,0.118,0.776
2019-02-22 11:59:58,0.0,0.0,1.0
2019-02-22 12:59:58,0.177,0.103,0.72
2019-02-22 13:59:58,0.041,0.33,0.629
2019-02-22 14:59:58,0.0,0.226,0.774
2019-02-22 15:59:58,0.125,0.0,0.875
2019-02-22 16:59:58,0.05,0.198,0.752
2019-02-22 17:59:58,0.0,0.0,1.0
2019-02-22 18:59:58,0.0,0.155,0.845
2019-02-22 19:59:58,0.0,0.0,1.0
2019-02-22 20:59:58,0.0,0.404,0.596
2019-02-22 21:59:58,0.0,0.0,1.0
