date,neg,pos,neu
2019-02-20 23:56:42,0.0567218934911243,0.1448343195266272,0.7984461538461541
2019-02-21 00:56:42,0.0,0.0,1.0
2019-02-21 01:56:42,0.067,0.0,0.933
2019-02-21 02:56:42,0.0,0.265,0.735
2019-02-21 03:56:42,0.0,0.071,0.929
2019-02-21 04:56:42,0.0,0.248,0.752
2019-02-21 05:56:42,0.0,0.0,1.0
2019-02-21 06:56:42,0.314,0.0,0.686
2019-02-21 07:56:42,0.0,0.0,1.0
2019-02-21 08:56:42,0.355,0.0,0.645
2019-02-21 09:56:42,0.094,0.08,0.826
2019-02-21 10:56:42,0.06,0.0,0.94
2019-02-21 11:56:42,0.0,0.167,0.833
2019-02-21 12:56:42,0.0,1.0,0.0
2019-02-21 13:56:42,0.0,0.0,1.0
2019-02-21 14:56:42,0.0,0.0,1.0
2019-02-21 15:56:42,0.0,0.225,0.775
2019-02-21 16:56:42,0.146,0.0,0.854
2019-02-21 17:56:42,0.08,0.084,0.836
2019-02-21 18:56:42,0.0,0.0,1.0
2019-02-21 19:56:42,0.0,0.0,1.0
2019-02-21 20:56:42,0.094,0.098,0.809
2019-02-21 21:56:42,0.17,0.101,0.729
2019-02-21 22:56:42,0.05,0.289,0.661
2019-02-21 23:56:42,0.0,0.0,1.0
2019-02-22 00:56:42,0.321,0.058,0.621
2019-02-22 01:56:42,0.0,0.0,1.0
2019-02-22 02:56:42,0.0,0.0,1.0
2019-02-22 03:56:42,0.0,0.128,0.872
2019-02-22 04:56:42,0.0,0.216,0.784
2019-02-22 05:56:42,0.304,0.0,0.696
2019-02-22 06:56:42,0.143,0.058,0.799
2019-02-22 07:56:42,0.0,0.458,0.542
2019-02-22 08:56:42,0.0,0.339,0.661
2019-02-22 09:56:42,0.112,0.127,0.761
2019-02-22 10:56:42,0.0,0.47,0.53
2019-02-22 11:56:42,0.0,0.073,0.927
2019-02-22 12:56:42,0.0,1.0,0.0
2019-02-22 13:56:42,0.078,0.32,0.602
2019-02-22 14:56:42,0.0,0.0,1.0
2019-02-22 15:56:42,0.059,0.082,0.859
2019-02-22 16:56:42,0.061,0.117,0.822
2019-02-22 17:56:42,0.0,0.365,0.635
2019-02-22 18:56:42,0.388,0.096,0.515
2019-02-22 19:56:42,0.0,0.0,1.0
